x,y,v_target
0.04036910419480444,0.2071669469505274,5.0
-0.2707690828122124,0.47040570246829483,5.0
-0.5912847308041083,0.7171531699182571,5.0
-0.9197452427944577,0.9500306077794658,5.0
-1.2548234153502733,1.1713584961590238,5.0
-1.5952907464659078,1.3833013707140602,5.0
-1.939978087110707,1.5879307158656908,5.0
-2.287748736537558,1.7872661235559002,5.0
-2.6374797885011447,1.9833019352873396,5.0
-2.988048933394704,2.178024202680512,5.0
-3.3379139294236673,2.373191542405736,5.0
-3.6869579886600845,2.5713730189851662,5.0
-4.033656864032605,2.774433174153839,5.0
-4.374551057817267,2.9830179419308975,5.0
-4.708380688665692,3.1989157726933835,5.0
-5.036486198341626,3.4258080843326506,5.0
-5.360029465006282,3.668134161360533,5.0
-5.679283024272772,3.9310756307814603,5.0
-5.991863349198749,4.219471078981899,5.0
-6.291866359349302,4.53648256791663,5.0
-6.5696263085643,4.881203625659449,5.0
-6.8127933219091386,5.244787803758672,5.0
-7.012748463031068,5.612848882307749,5.0
-7.167309764307626,5.968107299608906,5.0
-7.280400651841527,6.293335294046765,5.0
-7.360456223726503,6.5774110372925065,5.0
-7.416972501473596,6.8183137749335065,5.0
-7.458246575890604,7.023442145799577,5.0
-7.491177925323496,7.210916495434745,5.0
-7.520600639445051,7.404699873605195,5.0
-7.548267108096992,7.628219681127631,5.0
-7.57150471652455,7.902896063351969,5.0
-7.580603472568085,8.239237580814779,5.0
-7.559864981557205,8.6309486291901,5.0
-7.494140335611344,9.058682486600944,5.0
-7.375934548875585,9.49815289851931,5.0
-7.207551294880151,9.928180858950533,5.0
-6.998452697835976,10.33428484703826,5.0
-6.759233900885297,10.711308779820778,5.0
-6.498860305902182,11.059414315949695,5.0
-6.223081155338507,11.382207952105317,5.0
-5.936846912861475,11.68261418404694,5.0
-5.645433344670651,11.962346641592118,5.0
-5.3491908070436125,12.22671363926,5.0
-5.044757364750479,12.48245557974549,5.0
-4.731097839195236,12.733093442572269,5.0
-4.409790726108054,12.979843677894841,5.0
-4.085059616191887,13.222159085362746,5.0
-3.7598810566578296,13.460590362554923,5.0
-3.4340826935354305,13.69643829833556,5.0
-3.1073624801169015,13.930326870922837,5.0
-2.779408756784093,14.16272443835355,5.0
-2.4502426675764406,14.393778201420798,5.0
-2.1199882259380214,14.623509588415919,5.0
-1.7885711744152175,14.852031337091166,5.0
-1.4563624370413155,15.079109038165436,5.0
-1.1228225737086226,15.305094883970474,5.0
-0.7875168089981032,15.53020951754699,5.0
-0.4511834633085476,15.753856697050754,5.0
-0.11410493634956348,15.975731509269263,5.0
0.22345785922996125,16.195522927921882,5.0
0.5616955515264554,16.41318871440704,5.0
0.9007493822733796,16.628614481058655,5.0
1.2419783157135387,16.842403391760623,5.0
1.5861696301686843,17.054699111322478,5.0
1.9325066118548426,17.2646184939426,5.0
2.2806448281789464,17.47156870660951,5.0
2.629788925910888,17.67469849879906,5.0
2.9805433633544682,17.873971097675632,5.0
3.3339099901858296,18.069489042397162,5.0
3.68999445306528,18.260782415472864,5.0
4.049019105437839,18.447399966112307,5.0
4.411553999425637,18.629009473879428,5.0
4.7773313618572,18.80479988551304,5.0
5.145647595135453,18.97377809147901,5.0
5.517123636042344,19.135557952302097,5.0
5.8932806977998995,19.289994741777726,5.0
6.2751591166008325,19.436518817530466,5.0
6.66377002788543,19.57433878416529,5.0
7.05835231511764,19.701888010613015,5.0
7.458027521326523,19.817626987820734,5.0
7.861799754364339,19.92007828844277,5.0
8.267220106383355,20.007630026996058,5.0
8.670299866026904,20.078901022569756,5.0
9.067849630062769,20.133404963649262,5.0
9.455457421913035,20.17125566999514,5.0
9.829224769334685,20.19346954397567,5.0
10.185693785947166,20.20177925053983,5.0
10.524059846372756,20.198338877237934,5.0
10.847889128421013,20.18500715468201,5.0
11.163565186141637,20.162741474764143,5.0
11.477537434303509,20.131549854123953,5.0
11.795161882644605,20.090698969218963,5.0
12.122553878212953,20.03852617276633,5.0
12.462050939346463,19.97321184993119,5.0
12.813454269507833,19.89310939497485,5.0
13.175023391743142,19.796966582825064,5.0
13.544182659334773,19.68406810583641,5.0
13.917625026713667,19.554454108041693,5.0
14.292987221733759,19.408429283505853,5.0
14.66646409382198,19.247506130113415,5.0
15.035077313693717,19.073575286407532,5.0
15.397327438926286,18.888311501242228,5.0
15.752731464691133,18.69306022990875,5.0
16.101114687613602,18.48904130185611,5.0
16.44316930396192,18.27689318582675,5.0
16.779555720267453,18.05713283839857,5.0
17.11083920318001,17.830221593726332,5.0
17.43727919043735,17.59676325288036,5.0
17.759132729512515,17.35732511286373,5.0
18.07670717894946,17.112394121697903,5.0
18.39028933938194,16.86243513655917,5.0
18.700187661073254,16.607855761957218,5.0
19.00657482951208,16.34915142370353,5.0
19.30967145732288,16.086761218237495,5.0
19.60981311374272,15.820999144103494,5.0
19.907340350838037,15.552131387432373,5.0
20.202476520028448,15.280500333630243,5.0
20.495427066720065,15.006449696338278,5.0
20.786413914831137,14.730297743165249,5.0
21.07568295804863,14.452332494835384,5.0
21.363508434302847,14.172803980114637,5.0
21.650151045290965,13.89196973802064,5.0
21.935826080533307,13.610116632328962,5.0
22.220785001844046,13.327497397149733,5.0
22.50518593884583,13.044455337655963,5.0
22.78928028863677,12.761242148466987,5.0
23.073378648018895,12.478063361578869,5.0
23.3576447114481,12.195279998613533,5.0
23.64239858397601,11.91310813198159,5.0
23.928006052007323,11.631744124119338,5.0
24.214664393369194,11.351569028251262,5.0
24.502579492019702,11.072974648237443,5.0
24.792131959264292,10.796207253737515,5.0
25.08360874408608,10.521639327343514,5.0
25.377126645400836,10.249824335947878,5.0
25.67295509130672,9.98119756838616,5.0
25.971488339117094,9.716118121657658,5.0
26.273155242686077,9.454968062763095,5.0
26.578869206328253,9.197791058030628,5.0
26.8903906013481,8.944103972732465,5.0
27.209150243953413,8.69396704381153,5.0
27.53499979385981,8.44884988462621,5.0
27.867849359002054,8.210163232514644,5.0
28.20691568556332,7.979746393751671,5.0
28.550921347602454,7.759532857532832,5.0
28.89819557683794,7.551343122536425,5.0
29.247666630080868,7.356236384850335,5.0
29.599371313734128,7.174412603823567,5.0
29.954566535492305,7.005453329848554,5.0
30.31487968116476,6.848990634564125,5.0
30.68148167994684,6.7051070351136595,5.0
31.055762305453904,6.574021236404456,5.0
31.438685247181066,6.456343418530098,5.0
31.830504776151667,6.353052156698095,5.0
32.23054631855297,6.265377123050704,5.0
32.63732779344175,6.194572239441887,5.0
33.04823287040983,6.141751699159563,5.0
33.46112316394786,6.107539482299282,5.0
33.874341828705,6.0922247702886505,5.0
34.28775289052745,6.095962695398601,5.0
34.70096162488872,6.119022032376361,5.0
35.113234783983906,6.161688153940773,5.0
35.52378456774589,6.224225247479807,5.0
35.93234226209114,6.307005613997746,5.0
36.338240555338935,6.410375239750272,5.0
36.74080082322577,6.5346761463326315,5.0
37.13849578964815,6.679883322248375,5.0
37.52977750619272,6.845707471206879,5.0
37.91343723069115,7.031764754388243,5.0
38.28890367606224,7.237878456715993,5.0
38.654210121367676,7.462925950212481,5.0
39.00715052883074,7.705090701631596,5.0
39.34687976094956,7.963050397094333,5.0
39.6724688194708,8.235207720582322,5.0
39.98394663424139,8.520658891291564,5.0
40.28207713584577,8.819422608271378,5.0
40.56626731596802,9.13039170511118,5.0
40.83686310672295,9.453535650874484,5.0
41.093667759562734,9.788463249403396,5.0
41.33605489612177,10.134230792916888,5.0
41.564127751965074,10.491009357235455,5.0
41.77722721106669,10.857942463203372,5.0
41.974737530878116,11.234077786533916,5.0
42.15618938601886,11.61853894601565,5.0
42.32091374779004,12.00969524409705,5.0
42.46869951956136,12.406473561912826,5.0
42.59954595027988,12.808161068094043,5.0
42.71315505752507,13.212637481284686,5.0
42.80983340393671,13.619141438226439,5.0
42.889977637832615,14.027419395640328,5.0
42.9538748490388,14.436980651897006,5.0
43.00183018210278,14.848010934030444,5.0
43.03396713321283,15.26040591518103,5.0
43.050308156119684,15.67247307362068,5.0
43.05104911805326,16.08391414366994,5.0
43.036239344494675,16.495550304528493,5.0
43.00579198530648,16.906898224147195,5.0
42.95987143492433,17.31563648393584,5.0
42.89909292195181,17.718879245155147,5.0
42.82464136633075,18.113435412990178,5.0
42.73786463172249,18.497629913356597,5.0
42.63997116887088,18.871232648861337,5.0
42.531909600301475,19.23490760973683,5.0
42.41408740830385,19.590506866162123,5.0
42.28624331577066,19.940831820029018,5.0
42.14798654347926,20.288001662085815,5.0
41.99876412347984,20.633812937398808,5.0
41.83804919881697,20.979518448933188,5.0
41.666079395821434,21.324652705526844,5.0
41.48293706488001,21.669258665935793,5.0
41.28912515620803,22.012793261554005,5.0
41.08561489865062,22.35421125051941,5.0
40.873189357720285,22.69309935326406,5.0
40.65268172406059,23.02915549435929,5.0
40.42556842916906,23.361307948740894,5.0
40.193009367161494,23.689112557395987,5.0
39.955622873374665,24.01289241557063,5.0
39.71381381013618,24.333186187727073,5.0
39.468163930301145,24.650236811475796,5.0
39.21908618038574,24.964465318910115,5.0
38.96677107090981,25.276539543732312,5.0
38.711647327097516,25.586803271956843,5.0
38.45415863767099,25.89557500112391,5.0
38.19486774049381,26.20303588616776,5.0
37.93421874604141,26.50951148443604,5.0
37.67255934571298,26.815453681105975,5.0
37.41055610692115,27.120953570865325,5.0
37.14837676156502,27.426702590919586,5.0
36.88605751012853,27.73358502968031,5.0
36.623802013867895,28.042339383804517,5.0
36.36308859989027,28.35224407188813,5.0
36.106135929192384,28.661627882438992,5.0
35.853391867885165,28.970877440746627,5.0
35.60425074514246,29.281741018224086,5.0
35.356774627351555,29.5979167525728,5.0
35.108973287381644,29.923779766643506,5.0
34.86261036933413,30.25935402331478,5.0
34.62223404436728,30.600706652399793,5.0
34.390404946303526,30.946045151841638,5.0
34.166372294775904,31.29851267014403,5.0
33.94666261030367,31.667193444374014,5.0
33.729245610211855,32.06259696336081,5.0
33.519313155108144,32.48843935642904,5.0
33.32962474306036,32.94147316902543,5.0
33.17537023104812,33.41533917301997,5.0
33.0710287071991,33.90433246024436,5.0
33.028843988634506,34.40260820779504,5.0
33.0592988644555,34.90227098246726,5.0
33.17057328323368,35.39183148386937,5.0
33.365853545616815,35.85476310294135,5.0
33.641096384301825,36.27366716393849,5.0
33.984932844006394,36.63391404989607,5.0
34.382903819574466,36.927854752060405,5.0
34.821591513955006,37.15408653532046,5.0
35.2899905286348,37.3149630858556,5.0
35.780041810642274,37.415055974815594,5.0
36.283963830788096,37.4560173341535,5.0
36.7894307773021,37.435772051862294,5.0
37.27975732721149,37.35799681842668,5.0
37.741647902036654,37.23224848972113,5.0
38.16933417903147,37.06982615283108,5.0
38.567213447724995,36.87778742148091,5.0
38.943779294670655,36.657393746153886,5.0
39.30284892894227,36.40879302558632,5.0
39.643087657927744,36.13435816582902,5.0
39.961421003532145,35.83879526626019,5.0
40.25583892407391,35.52756897958283,5.0
40.52553703092913,35.20639540639189,5.0
40.771016071838716,34.880539464574916,5.0
40.99368681162841,34.55456326569821,5.0
41.1965044645614,34.23050732203066,5.0
41.38324582823628,33.90789444122532,5.0
41.55755069582803,33.58496031683869,5.0
41.722507222876565,33.25960117238685,5.0
41.88106568384015,32.928947601996335,5.0
42.03591848862256,32.589926916467924,5.0
42.189628708217704,32.239467368966345,5.0
42.34434200034038,31.875840004597677,5.0
