x,y,v_target
-0.171243964993665,0.06762994238028715,5.0
-0.5468645551192468,0.20726429673763874,5.0
-0.9460635898843434,0.30146725618911624,5.0
-1.3645519539817925,0.34749440296913364,5.0
-1.7970465241814306,0.343719649720104,5.0
-2.2378882327657603,0.290285041820062,5.0
-2.681542371897928,0.18947457772465925,5.0
-3.1231208649528956,0.045870929880955535,5.0
-3.5589817787523077,-0.1338325280307704,5.0
-3.987396755479438,-0.3415387394784599,5.0
-4.418585004294169,-0.5834059931878158,5.0
-4.829238120924831,-0.8708933777356064,5.0
-5.195731234431498,-1.2151086955023518,4.768763704125241
-5.489818398942732,-1.6434869041386022,4.310942201349271
-5.650909919381329,-2.1522181645487457,3.9949150299027694
-5.621772218830112,-2.703188931374796,4.106702588924519
-5.381689736821721,-3.222108081107654,4.376307951345389
-5.026619165112869,-3.609298066146148,4.610148137758908
-4.740343699912022,-3.830234749930452,4.764444645130822
-4.571928436738513,-3.943822935678602,4.84896833671976
-4.46971652475633,-4.009753541660766,4.8988792853793095
-4.382341599895029,-4.0649204113058826,4.940885675801362
-4.287532978288661,-4.123626644065831,4.98582012477755
-4.190556566864151,-4.182412939336127,5.0
-4.035023918059918,-4.273552154505491,5.0
-3.7454492954065293,-4.428441227239602,4.972647674338085
-3.3441565850883617,-4.611417569998484,4.604226949465941
-2.882907840967346,-4.799538808255378,4.148953307571495
-2.404014469262707,-5.0089371077512785,3.6100462324829863
-1.9495148356390022,-5.268221800175452,2.974285353156681
-1.588129950052393,-5.562298855774172,2.2625257508843593
-1.3992678798899627,-5.759139462039134,1.7136779716843493
-1.3816757493273935,-5.77834544531602,1.6517658816933973
-1.4503995350106365,-5.70266156806143,1.3822044547578176
-1.5288793479834157,-5.61398321090414,0.9813977079246693
-1.573850241237634,-5.5622165027142465,0.6438651282704367
-1.532049896061649,-5.6107865659385245,0.8190754527827705
-1.3557128956732742,-5.828799167364545,1.338837223683411
-1.1163032365346381,-6.2191405187715025,1.903715556040051
-0.939469494443666,-6.699977035128937,2.3818944757365186
-0.8506765728084323,-7.205886939062336,2.7799267680221664
-0.826345818382273,-7.7025465797332,3.117212510897974
-0.8353510717699885,-8.167393559642274,3.4024624367878196
-0.8520516428310725,-8.573915901545545,3.63375998022029
-0.863954297975224,-8.911761290900648,3.8152891866510124
-0.8694251768896829,-9.230328996668483,3.978805133928549
-0.8656875489370108,-9.550447604927138,4.1365990865840825
-0.8496940138871563,-9.86161650015037,4.284596898062717
-0.8199450170231919,-10.16121735530378,4.422902597575506
-0.7782448653298609,-10.443664049032453,4.550175922362479
-0.7295465390987114,-10.703195441757442,4.664798372600387
-0.6722320155867268,-10.960968509156412,4.77667414201208
-0.5956776066468604,-11.2556900153303,4.902511911532628
-0.48910221395856507,-11.603508072558656,5.0
-0.3495581877313454,-11.991192255440884,5.0
-0.1841174347642316,-12.395368669808208,5.0
-0.005378046475145941,-12.798520454357014,5.0
0.17271043509970366,-13.188541257324955,5.0
0.33787302347175074,-13.555212550725347,5.0
0.4818615425793528,-13.88917039707771,5.0
0.6016236470324423,-14.183713080575078,5.0
0.6992671306577012,-14.438906134542378,5.0
0.780680125438638,-14.664200306092026,5.0
0.8550152705522374,-14.881962540892731,5.0
0.9314585860505157,-15.12215258549539,5.0
1.0129329094751491,-15.407017702648124,5.0
1.0953190540874136,-15.742053625660382,5.0
1.1710250651503071,-16.120936854157687,5.0
1.2334015097885858,-16.52955507987203,5.0
1.2797855195231072,-16.952380577783526,5.0
1.3114182515150623,-17.377929545490137,5.0
1.3314594907612136,-17.79787787925429,5.0
1.3436077397316124,-18.20981201111038,5.0
1.351231379451669,-18.615942938979476,5.0
1.3572584285781155,-19.020023971333444,5.0
1.3644493345283433,-19.42516623078998,5.0
1.3757093522855277,-19.834540806737227,5.0
1.394625651092654,-20.254676065446624,5.0
1.4260553713804838,-20.69066604768412,5.0
1.4760302798984695,-21.141087718280804,5.0
1.551008431403725,-21.599791708427556,5.0
1.6578568934062163,-22.061754982765937,5.0
1.8031909052272779,-22.52053364055978,5.0
1.9941156231237682,-22.97098960543628,5.0
2.2400130861723015,-23.40926799733024,5.0
2.550395069877906,-23.82574612780224,5.0
2.9288484538229014,-24.201839467471196,5.0
3.369654570945462,-24.516196069609915,5.0
3.8601615872145865,-24.75240042248608,5.0
4.38426273314326,-24.90116820527324,5.0
4.924798894572964,-24.956321322531753,5.0
5.464741261675359,-24.91174065714676,5.0
5.985068720355115,-24.76395124407713,5.0
6.463699418989308,-24.514957982762773,5.0
6.878047880370152,-24.174405323313202,5.0
7.21116352946364,-23.761331463024412,5.0
7.456345147932826,-23.299827805610864,5.0
7.617213546610444,-22.813091251203172,5.0
7.704633076902587,-22.317189213334157,5.0
7.731537313531645,-21.8209295196678,5.0
